iter	Passed	Remaining
0	7	3029
1	15	3055
2	21	2809
3	29	2898
4	36	2849
5	42	2819
6	48	2739
7	55	2704
8	61	2677
9	67	2638
10	73	2609
11	80	2587
12	86	2565
13	93	2566
14	99	2557
15	106	2546
16	112	2531
17	118	2524
18	125	2507
19	131	2489
20	136	2471
21	143	2473
22	150	2469
23	156	2452
24	163	2456
25	170	2445
26	176	2441
27	182	2427
28	189	2418
29	195	2409
30	201	2395
31	208	2393
32	214	2390
33	221	2388
34	227	2377
35	233	2364
36	239	2354
37	245	2343
38	251	2332
39	258	2322
40	263	2310
41	269	2300
42	275	2289
43	281	2279
44	287	2270
45	293	2261
46	299	2252
47	307	2251
48	313	2242
49	319	2233
50	324	2223
51	331	2219
52	337	2211
53	344	2205
54	350	2196
55	356	2187
56	362	2179
57	369	2179
58	375	2171
59	381	2162
60	387	2154
61	394	2151
62	400	2143
63	408	2144
64	426	2199
65	469	2374
66	510	2539
67	517	2524
68	522	2508
69	529	2494
70	535	2479
71	541	2465
72	548	2458
73	555	2445
74	561	2432
75	566	2416
76	573	2403
77	579	2390
78	585	2377
79	590	2363
80	596	2350
81	603	2338
82	609	2328
83	615	2316
84	622	2306
85	628	2295
86	635	2285
87	641	2273
88	646	2259
89	653	2251
90	659	2240
91	666	2232
92	672	2220
93	678	2209
94	684	2198
95	690	2186
96	696	2175
97	702	2163
98	707	2152
99	715	2146
100	722	2138
101	730	2133
102	736	2122
103	742	2113
104	748	2102
105	754	2092
106	760	2082
107	766	2072
108	774	2066
109	781	2059
110	787	2051
111	794	2042
112	801	2034
113	808	2028
114	815	2020
115	822	2013
116	829	2006
117	836	1998
118	841	1988
119	848	1978
120	853	1968
121	859	1958
122	865	1949
123	871	1939
124	877	1930
125	883	1920
126	888	1910
127	894	1901
128	901	1893
129	908	1887
130	915	1879
131	921	1871
132	928	1863
133	934	1855
134	941	1848
135	947	1839
136	953	1830
137	960	1823
138	966	1815
139	973	1807
140	979	1799
141	986	1792
142	993	1786
143	1000	1779
144	1008	1773
145	1015	1766
146	1022	1759
147	1029	1753
148	1037	1748
149	1044	1740
150	1051	1733
151	1056	1724
152	1064	1718
153	1070	1710
154	1077	1702
155	1083	1694
156	1089	1686
157	1095	1677
158	1101	1669
159	1107	1660
160	1113	1652
161	1118	1643
162	1125	1635
163	1130	1627
164	1136	1618
165	1142	1610
166	1148	1602
167	1154	1594
168	1160	1586
169	1167	1579
170	1173	1571
171	1179	1563
172	1186	1556
173	1192	1548
174	1198	1541
175	1205	1533
176	1211	1525
177	1218	1519
178	1224	1511
179	1230	1503
180	1236	1495
181	1241	1487
182	1247	1479
183	1253	1471
184	1259	1464
185	1267	1458
186	1274	1451
187	1280	1444
188	1286	1436
189	1293	1430
190	1301	1423
191	1308	1417
192	1314	1409
193	1321	1402
194	1328	1396
195	1334	1388
196	1340	1381
197	1347	1374
198	1353	1367
199	1359	1359
200	1366	1353
201	1373	1346
202	1379	1338
203	1385	1330
204	1390	1323
205	1401	1319
206	1453	1355
207	1499	1383
208	1505	1376
209	1511	1367
210	1517	1359
211	1524	1351
212	1530	1343
213	1536	1335
214	1542	1327
215	1549	1319
216	1556	1312
217	1562	1304
218	1569	1296
219	1577	1290
220	1585	1283
221	1592	1277
222	1599	1269
223	1605	1261
224	1612	1253
225	1617	1245
226	1623	1237
227	1629	1229
228	1635	1221
229	1641	1213
230	1646	1204
231	1652	1196
232	1658	1188
233	1664	1180
234	1670	1172
235	1678	1166
236	1685	1158
237	1691	1151
238	1698	1143
239	1704	1136
240	1711	1128
241	1717	1121
242	1723	1113
243	1729	1105
244	1736	1098
245	1742	1091
246	1749	1083
247	1755	1076
248	1762	1068
249	1768	1060
250	1773	1053
251	1780	1045
252	1786	1038
253	1793	1030
254	1799	1023
255	1805	1015
256	1811	1007
257	1817	1000
258	1822	992
259	1828	984
260	1834	977
261	1841	970
262	1847	962
263	1855	955
264	1862	948
265	1871	942
266	1879	936
267	1888	930
268	1896	923
269	1904	917
270	1911	910
271	1920	903
272	1926	896
273	1933	889
274	1940	881
275	1947	874
276	1953	867
277	1959	859
278	1966	852
279	1973	845
280	1981	839
281	1988	831
282	1996	825
283	2003	818
284	2011	811
285	2017	804
286	2025	797
287	2032	790
288	2041	783
289	2047	776
290	2055	769
291	2062	762
292	2071	756
293	2078	749
294	2086	742
295	2093	735
296	2101	728
297	2108	721
298	2116	714
299	2123	707
300	2131	701
301	2137	693
302	2144	686
303	2150	679
304	2157	671
305	2163	664
306	2169	657
307	2174	649
308	2180	642
309	2186	634
310	2193	627
311	2199	620
312	2205	613
313	2211	605
314	2218	598
315	2225	591
316	2230	584
317	2236	576
318	2243	569
319	2249	562
320	2255	555
321	2261	547
322	2268	540
323	2274	533
324	2283	526
325	2290	519
326	2298	513
327	2304	505
328	2313	499
329	2321	492
330	2329	485
331	2336	478
332	2344	471
333	2351	464
334	2412	468
335	2462	469
336	2474	462
337	2480	454
338	2486	447
339	2493	439
340	2500	432
341	2506	424
342	2513	417
343	2519	410
344	2528	403
345	2534	395
346	2542	388
347	2548	380
348	2555	373
349	2562	366
350	2568	358
351	2576	351
352	2581	343
353	2591	336
354	2599	329
355	2606	322
356	2611	314
357	2618	307
358	2625	299
359	2632	292
360	2639	285
361	2647	277
362	2653	270
363	2659	263
364	2665	255
365	2671	248
366	2677	240
367	2683	233
368	2690	226
369	2698	218
370	2704	211
371	2710	204
372	2717	196
373	2724	189
374	2731	182
375	2738	174
376	2744	167
377	2751	160
378	2757	152
379	2763	145
380	2770	138
381	2776	130
382	2783	123
383	2789	116
384	2796	108
385	2803	101
386	2810	94
387	2818	87
388	2824	79
389	2830	72
390	2836	65
391	2842	58
392	2848	50
393	2854	43
394	2861	36
395	2868	28
396	2875	21
397	2881	14
398	2888	7
399	2894	0
