iter	Passed	Remaining
0	9	1892
1	17	1779
2	24	1633
3	31	1553
4	38	1508
5	45	1475
6	52	1447
7	59	1426
8	66	1405
9	73	1395
10	82	1421
11	91	1427
12	99	1430
13	107	1427
14	115	1425
15	123	1424
16	131	1420
17	139	1410
18	146	1393
19	153	1377
20	160	1364
21	167	1351
22	173	1338
23	180	1326
24	189	1329
25	198	1326
26	206	1321
27	213	1308
28	220	1297
29	227	1287
30	234	1275
31	242	1273
32	250	1268
33	258	1262
34	265	1250
35	271	1238
36	278	1227
37	285	1215
38	291	1205
39	298	1194
40	305	1184
41	311	1173
42	318	1162
43	325	1153
44	331	1143
45	338	1133
46	345	1123
47	351	1114
48	358	1104
49	365	1095
50	373	1089
51	381	1087
52	389	1078
53	395	1069
54	402	1060
55	409	1054
56	416	1044
57	423	1037
58	430	1027
59	436	1019
60	443	1010
61	450	1001
62	456	993
63	463	984
64	470	976
65	477	969
66	485	963
67	492	955
68	498	947
69	505	939
70	512	931
71	520	925
72	528	918
73	535	911
74	542	903
75	549	895
76	556	889
77	564	883
78	572	876
79	580	870
80	586	862
81	594	854
82	600	846
83	609	841
84	616	834
85	624	827
86	630	819
87	638	812
88	644	803
89	651	796
90	657	788
91	664	779
92	671	772
93	678	764
94	685	757
95	692	749
96	700	743
97	707	736
98	714	729
99	721	721
100	728	714
101	739	710
102	748	704
103	755	697
104	762	689
105	769	682
106	776	674
107	783	667
108	791	660
109	797	652
110	805	645
111	812	638
112	819	631
113	826	623
114	833	616
115	840	608
116	847	601
117	855	594
118	863	587
119	870	580
120	877	572
121	884	565
122	891	558
123	898	550
124	905	543
125	913	536
126	920	529
127	929	522
128	939	517
129	949	511
130	956	504
131	964	496
132	973	490
133	981	483
134	989	476
135	996	469
136	1004	461
137	1011	454
138	1017	446
139	1024	438
140	1030	431
141	1037	423
142	1044	416
143	1050	408
144	1057	401
145	1067	394
146	1074	387
147	1081	379
148	1087	372
149	1094	364
150	1101	357
151	1111	351
152	1119	343
153	1129	337
154	1136	330
155	1143	322
156	1150	315
157	1159	308
158	1167	301
159	1175	293
160	1183	286
161	1190	279
162	1198	272
163	1206	264
164	1214	257
165	1222	250
166	1229	243
167	1237	235
168	1245	228
169	1253	221
170	1261	213
171	1269	206
172	1277	199
173	1284	191
174	1293	184
175	1301	177
176	1310	170
177	1316	162
178	1324	155
179	1332	148
180	1341	140
181	1348	133
182	1355	125
183	1362	118
184	1369	111
185	1376	103
186	1383	96
187	1390	88
188	1397	81
189	1404	73
190	1411	66
191	1418	59
192	1425	51
193	1432	44
194	1438	36
195	1446	29
196	1452	22
197	1459	14
198	1466	7
199	1474	0
