iter	MAE	RMSE
0	4.893584299	6.925354244
1	3.829840632	5.395165078
2	3.125574093	4.453240347
3	2.753477795	3.842607638
4	2.455595262	3.379548497
5	2.211057757	3.031137659
6	2.006845606	2.759261419
7	1.851689858	2.539037033
8	1.797306778	2.42422011
9	1.727020566	2.312215141
10	1.666894138	2.228643368
11	1.60158909	2.13395936
12	1.552481019	2.052423943
13	1.498536214	1.981050212
14	1.448849669	1.911949006
15	1.412744201	1.858644893
16	1.364619793	1.795404552
17	1.330422279	1.748958898
18	1.301840301	1.708198867
19	1.274548521	1.671668596
20	1.249508622	1.638355743
21	1.218750755	1.593993127
22	1.204003513	1.570559063
23	1.177426631	1.536765076
24	1.142628132	1.491220293
25	1.11305894	1.449438278
26	1.076342366	1.407199491
27	1.062029168	1.38133504
28	1.052187929	1.36573921
29	1.027180511	1.339916758
30	1.012728852	1.323648017
31	1.0037449	1.306695704
32	0.9865115326	1.285620216
33	0.9687202378	1.257864687
34	0.9503781158	1.223254342
35	0.9156879387	1.184397052
36	0.9052062082	1.163093126
37	0.8811290477	1.131745681
38	0.8570719804	1.104734077
39	0.8366582889	1.072438683
40	0.8206974445	1.046461896
41	0.7998015149	1.023522745
42	0.7807395104	0.9972373646
43	0.7718792906	0.987614327
44	0.7629513882	0.9740067888
45	0.7521477123	0.9605804691
46	0.7393531422	0.9450617137
47	0.7171798555	0.9252556737
48	0.6981390774	0.9038480039
49	0.6885315546	0.891341909
50	0.6777321088	0.876772713
51	0.6713552947	0.8632917064
52	0.6612902349	0.850029703
53	0.6555106286	0.8417894943
54	0.6473254213	0.8313713672
55	0.636568957	0.8209866543
56	0.6241512487	0.8068739333
57	0.6083250518	0.7862557905
58	0.5899449717	0.7630116043
59	0.5766760193	0.7469148287
60	0.5662621602	0.7337983662
61	0.5537435702	0.71843506
62	0.5401747298	0.699498472
63	0.5353163917	0.6892056599
64	0.5271317888	0.6754943906
65	0.5172812585	0.6636167831
66	0.5083012345	0.6524475525
67	0.5010095351	0.6435521272
68	0.4902265945	0.6303471026
69	0.4841624723	0.6232098919
70	0.4775040126	0.6141808482
71	0.4730746959	0.6081224222
72	0.4667444512	0.6013090452
73	0.462425874	0.594467612
74	0.4570922096	0.5868418467
75	0.4535894111	0.581624461
76	0.4451077905	0.5679259683
77	0.4384446852	0.5590460798
78	0.4312214615	0.5480526171
79	0.4224993262	0.5367723684
80	0.4179204053	0.5297562534
81	0.4097812011	0.5182315879
82	0.4035979167	0.5112826502
83	0.3964058904	0.5022530734
84	0.3911880644	0.4964640767
85	0.3828161636	0.4870246439
86	0.3748673543	0.4804458349
87	0.3699040932	0.4740599769
88	0.3667510382	0.4701239163
89	0.3607606416	0.4616051154
90	0.3468203781	0.4450591697
91	0.3407971222	0.4383126876
92	0.3327948693	0.4289842126
93	0.3284704756	0.4231954291
94	0.3254945585	0.4199741065
95	0.3205183803	0.4149118112
96	0.3153413829	0.407948762
97	0.3068760598	0.3963044825
98	0.2997089613	0.3868341984
99	0.2968281472	0.38279236
100	0.2924463631	0.3785807181
101	0.2897483524	0.37437678
102	0.2880733603	0.3720130685
103	0.283307236	0.3651035107
104	0.2797864215	0.3616469808
105	0.2761940531	0.3575679623
106	0.271283027	0.3507540801
107	0.2644506398	0.3416463932
108	0.2584063275	0.3334108143
109	0.2549169937	0.3277063212
110	0.2529889853	0.3249529181
111	0.2497564826	0.3204360499
112	0.2482375343	0.3185683897
113	0.2441334488	0.3126493494
114	0.2402696515	0.3079042516
115	0.2371502489	0.3033175986
116	0.2329706249	0.298239478
117	0.2289091054	0.2937273273
118	0.2253905192	0.2894521959
119	0.2223358532	0.2865780786
120	0.2199640557	0.2835228862
121	0.2182044228	0.2805946024
