iter	Passed	Remaining
0	12	2556
1	24	2436
2	36	2423
3	48	2388
4	60	2347
5	73	2375
6	82	2271
7	91	2201
8	101	2144
9	110	2106
10	119	2052
11	128	2005
12	136	1969
13	146	1946
14	154	1909
15	163	1880
16	172	1853
17	181	1834
18	190	1818
19	201	1815
20	212	1811
21	221	1792
22	230	1773
23	239	1753
24	247	1732
25	256	1717
26	265	1698
27	275	1692
28	286	1688
29	295	1675
30	304	1661
31	314	1651
32	322	1633
33	332	1622
34	342	1614
35	351	1599
36	359	1585
37	368	1569
38	377	1559
39	386	1545
40	395	1534
41	406	1528
42	414	1515
43	423	1501
44	431	1487
45	440	1473
46	449	1463
47	458	1452
48	467	1440
49	477	1432
50	486	1421
51	495	1411
52	504	1400
53	514	1391
54	524	1383
55	534	1374
56	543	1363
57	551	1350
58	560	1339
59	568	1327
60	576	1314
61	586	1305
62	596	1297
63	604	1285
64	612	1273
65	623	1265
66	631	1253
67	639	1241
68	648	1231
69	656	1219
70	665	1209
71	675	1200
72	683	1189
73	692	1178
74	703	1171
75	711	1160
76	722	1154
77	733	1146
78	745	1142
79	754	1132
80	766	1126
81	779	1121
82	792	1117
83	802	1107
84	812	1098
85	821	1089
86	830	1079
87	841	1071
88	853	1064
89	863	1055
90	874	1047
91	885	1039
92	896	1030
93	905	1021
94	916	1013
95	928	1005
96	937	995
97	947	986
98	958	977
99	971	971
100	983	964
101	992	953
102	1003	945
103	1012	934
104	1024	926
105	1034	917
106	1043	906
107	1054	898
108	1064	888
109	1072	877
110	1084	869
111	1093	859
112	1102	848
113	1111	838
114	1122	829
115	1132	820
116	1143	811
117	1153	801
118	1164	792
119	1174	782
120	1185	773
121	1194	763
122	1202	752
123	1212	743
124	1222	733
125	1231	723
126	1240	713
127	1249	703
128	1258	692
129	1267	682
130	1276	672
131	1285	662
132	1294	651
133	1302	641
134	1311	631
135	1320	621
136	1330	611
137	1339	601
138	1348	591
139	1358	582
140	1368	572
141	1378	563
142	1387	552
143	1395	542
144	1405	533
145	1414	523
146	1423	513
147	1432	503
148	1441	493
149	1450	483
150	1458	473
151	1467	463
152	1476	453
153	1484	443
154	1494	433
155	1504	424
156	1514	414
157	1522	404
158	1531	394
159	1539	384
160	1550	375
161	1561	366
162	1570	356
163	1579	346
164	1588	336
165	1597	327
166	1606	317
167	1615	307
168	1624	297
169	1633	288
170	1641	278
171	1650	268
172	1659	258
173	1667	249
174	1676	239
175	1685	229
176	1696	220
177	1705	210
178	1714	201
179	1724	191
180	1734	182
181	1745	172
182	1754	162
183	1762	153
184	1773	143
185	1783	134
186	1792	124
187	1801	115
188	1810	105
189	1820	95
190	1833	86
191	1843	76
192	1853	67
193	1863	57
194	1872	48
195	1882	38
196	1892	28
197	1901	19
198	1912	9
199	1924	0
