iter	Passed	Remaining
0	19	3881
1	36	3662
2	52	3435
3	68	3356
4	84	3308
5	101	3282
6	117	3242
7	135	3245
8	151	3220
9	168	3202
10	185	3188
11	201	3161
12	219	3161
13	237	3155
14	251	3102
15	269	3094
16	283	3052
17	297	3007
18	313	2982
19	328	2952
20	342	2916
21	355	2880
22	371	2858
23	384	2818
24	399	2795
25	412	2760
26	428	2747
27	444	2733
28	458	2706
29	474	2691
30	487	2655
31	500	2627
32	514	2603
33	529	2585
34	545	2571
35	559	2548
36	573	2528
37	587	2504
38	601	2482
39	616	2467
40	631	2448
41	645	2427
42	659	2406
43	672	2385
44	687	2367
45	699	2341
46	710	2313
47	721	2285
48	735	2266
49	747	2243
50	760	2221
51	772	2199
52	784	2177
53	797	2156
54	818	2159
55	831	2137
56	844	2118
57	860	2106
58	874	2090
59	888	2072
60	901	2053
61	913	2032
62	926	2015
63	938	1994
64	951	1976
65	963	1955
66	974	1934
67	985	1913
68	998	1895
69	1011	1878
70	1025	1862
71	1037	1843
72	1051	1828
73	1065	1813
74	1077	1795
75	1090	1779
76	1104	1764
77	1115	1744
78	1126	1725
79	1138	1707
80	1152	1692
81	1164	1675
82	1177	1659
83	1189	1642
84	1201	1625
85	1215	1611
86	1231	1599
87	1246	1586
88	1261	1573
89	1273	1556
90	1283	1537
91	1296	1521
92	1309	1506
93	1320	1489
94	1332	1473
95	1344	1456
96	1356	1440
97	1371	1427
98	1384	1412
99	1397	1397
100	1410	1382
101	1425	1369
102	1437	1353
103	1452	1340
104	1466	1326
105	1479	1311
106	1492	1297
107	1506	1283
108	1520	1269
109	1532	1254
110	1545	1239
111	1558	1224
112	1572	1210
113	1587	1197
114	1601	1183
115	1617	1171
116	1632	1158
117	1647	1144
118	1659	1129
119	1674	1116
120	1687	1102
121	1701	1087
122	1715	1073
123	1726	1058
124	1738	1043
125	1751	1028
126	1762	1012
127	1776	999
128	1789	985
129	1802	970
130	1816	956
131	1832	943
132	1846	930
133	1859	915
134	1871	901
135	1883	886
136	1895	871
137	1908	857
138	1922	843
139	1934	828
140	1946	814
141	1960	800
142	1974	786
143	1988	773
144	2001	759
145	2014	745
146	2031	732
147	2042	717
148	2057	704
149	2070	690
150	2082	675
151	2095	661
152	2107	647
153	2121	633
154	2132	619
155	2145	605
156	2158	591
157	2171	577
158	2184	563
159	2198	549
160	2214	536
161	2230	523
162	2244	509
163	2257	495
164	2271	481
165	2284	467
166	2296	453
167	2309	439
168	2322	426
169	2334	412
170	2347	398
171	2359	384
172	2370	370
173	2383	356
174	2395	342
175	2409	328
176	2424	315
177	2438	301
178	2453	287
179	2466	274
180	2480	260
181	2493	246
182	2506	232
183	2518	218
184	2531	205
185	2544	191
186	2556	177
187	2568	163
188	2580	150
189	2592	136
190	2605	122
191	2622	109
192	2634	95
193	2648	81
194	2661	68
195	2674	54
196	2687	40
197	2700	27
198	2713	13
199	2726	0
