iter	MAE	RMSE
0	7857.875701	10328.35082
1	6753.757009	8792.096447
2	5885.061215	7648.583718
3	5212.141589	6812.543303
4	4666.359346	6195.140743
5	4246.038785	5771.005727
6	3862.728037	5429.558049
7	3584.548131	5227.85136
8	3361.675467	5066.806103
9	3203.716355	4962.152032
10	3115.149533	4907.854051
11	3028.367757	4852.423213
12	2968.498364	4820.547473
13	2919.314252	4783.400281
14	2858.405607	4747.104133
15	2827.795794	4727.534338
16	2796.38715	4703.444357
17	2786.771729	4696.783937
18	2743.806776	4664.705097
19	2732.391355	4657.119716
20	2717.23715	4637.76534
21	2701.444159	4627.97705
22	2686.240888	4621.009258
23	2676.983178	4614.169079
24	2665.162617	4606.148122
25	2662.266121	4603.381486
26	2651.217056	4590.114407
27	2649.291355	4587.85378
28	2631.952804	4568.782858
29	2610.903738	4546.206651
30	2608.788551	4543.449855
31	2606.405374	4539.587063
32	2591.178972	4519.676482
33	2591.807243	4519.484639
34	2592.707477	4518.252922
35	2591.810047	4517.349464
36	2580.31028	4502.786377
37	2578.825234	4500.743857
38	2575.846262	4498.704239
39	2576.23014	4496.243769
40	2572.78715	4492.924694
41	2571.8	4490.566977
42	2570.85257	4489.257618
43	2567.584579	4485.827985
44	2562.974065	4480.549606
45	2562.481776	4478.835202
46	2547.661682	4459.619973
47	2541.782243	4450.498538
48	2521.219393	4418.642254
49	2521.164252	4417.205199
50	2521.664953	4416.481512
51	2519.959112	4415.267446
52	2520.324065	4415.26246
53	2520.613551	4415.259209
54	2520.982477	4415.255524
55	2521.400935	4414.476888
56	2519.431308	4413.114376
57	2512.953738	4406.003585
58	2501.109579	4386.553973
59	2497.063084	4381.708385
60	2497.102103	4381.193344
61	2497.146028	4381.192252
62	2497.432944	4380.823517
63	2495.649533	4379.411638
64	2483.632477	4363.34859
65	2484.020794	4363.347274
66	2481.925467	4360.744376
67	2479.034346	4354.63142
68	2478.561215	4354.601092
69	2478.49743	4354.599334
70	2478.447196	4354.598235
71	2478.410748	4354.597795
72	2478.272196	4354.442195
73	2478.467757	4352.881494
74	2474.655607	4346.113446
75	2472.698598	4344.384541
76	2473.090187	4343.412087
77	2472.735748	4343.331884
78	2472.471729	4343.27724
79	2462.430607	4328.258938
80	2462.338551	4328.218918
81	2447.019393	4304.220847
82	2447.692757	4303.698534
83	2447.908879	4302.981111
84	2447.130841	4299.944419
85	2447.220794	4299.477901
86	2442.673598	4292.60336
87	2429.941121	4269.039739
88	2431.011449	4268.637999
89	2431.417757	4268.393171
90	2429.977103	4267.496916
91	2425.973598	4260.089385
92	2425.40514	4260.027158
93	2424.819626	4259.022186
94	2424.896963	4258.855454
95	2422.58528	4255.229781
96	2423.11285	4255.147916
97	2423.301402	4255.121826
98	2424.441355	4254.649719
99	2421.840654	4241.932369
100	2421.625467	4241.844832
101	2422.23271	4241.728415
102	2423.582944	4240.695862
103	2423.496262	4240.656595
104	2421.903037	4236.040161
105	2422.940654	4235.912966
106	2422.984813	4235.889695
107	2420.445794	4229.688382
108	2421.040654	4229.647655
109	2421.200701	4229.637473
110	2421.333411	4229.630459
111	2421.513785	4229.62797
112	2421.539019	4229.624802
113	2421.96215	4229.599234
114	2422.347664	4229.582943
115	2422.398364	4229.58068
116	2420.716822	4228.155871
117	2420.243224	4227.663775
118	2420.318692	4227.656305
119	2420.103505	4227.649061
120	2419.793925	4225.642275
121	2418.576636	4221.659391
122	2418.410981	4221.654177
123	2418.724065	4221.650324
124	2418.597664	4221.645336
125	2418.702804	4221.542417
126	2418.542523	4221.53947
127	2418.411215	4221.53675
128	2418.34486	4221.534483
129	2418.258178	4221.532896
130	2418.189252	4221.531082
131	2418.134579	4221.529496
132	2417.885047	4221.449471
133	2418.221729	4221.44539
134	2416.525	4220.295629
135	2415.909579	4220.283383
136	2416.356542	4220.26819
137	2415.470093	4218.384259
138	2415.547897	4218.382898
139	2404.718458	4195.921402
140	2404.770794	4195.897453
141	2404.929673	4195.889014
142	2404.905841	4195.87761
143	2404.631075	4195.860048
144	2404.736215	4195.856626
145	2404.696729	4195.844082
146	2404.759813	4195.842029
147	2404.830607	4195.840204
148	2404.773832	4195.831537
149	2404.713318	4195.828344
150	2404.736916	4195.827203
151	2404.684112	4195.825379
152	2404.642056	4195.82401
153	2404.665187	4195.823098
154	2404.672664	4195.82287
155	2404.667523	4195.81922
156	2404.449766	4195.66161
157	2404.418224	4195.661382
158	2404.392757	4195.660926
159	2404.274533	4195.599796
160	2394.91028	4180.190829
161	2394.91729	4180.191058
162	2394.828738	4180.186708
163	2394.538318	4180.092155
164	2394.171495	4180.083684
165	2393.887617	4180.078418
166	2394.088551	4180.056897
167	2393.809579	4180.050258
168	2393.476168	4178.930558
169	2392.779206	4178.227672
170	2392.691589	4178.226298
171	2392.734579	4178.224695
172	2392.613551	4178.22332
173	2392.570093	4178.222862
174	2393.236916	4177.242426
175	2393.06215	4177.241281
176	2393.077336	4176.92511
177	2392.880607	4176.924193
178	2392.726636	4176.923506
179	2393.146262	4176.634807
180	2385.824766	4166.101981
181	2384.631776	4162.88659
182	2384.654673	4162.880843
183	2384.88785	4162.847968
184	2385.120327	4162.825439
185	2385.094159	4162.824519
186	2385.073832	4162.820841
187	2385.106776	4162.818772
188	2385.131308	4162.802909
189	2385.105841	4162.802449
190	2385.123364	4162.791874
191	2380.06285	4154.648808
192	2377.558879	4149.66365
193	2376.410047	4148.801721
194	2376.340654	4148.74313
195	2376.221495	4148.726753
196	2376.03785	4148.722139
197	2375.830841	4147.82679
198	2375.609346	4147.821253
199	2371.957944	4136.726732
200	2371.858178	4136.715627
201	2371.415654	4136.673985
202	2371.36028	4136.666582
203	2371.288551	4136.558078
204	2371.151402	4136.555302
205	2371.185047	4136.549749
206	2359.321963	4115.218697
207	2359.145794	4115.214511
208	2359.007243	4115.211953
209	2358.710748	4115.142186
210	2358.631308	4115.141024
211	2358.568692	4115.140559
212	2358.518925	4115.140093
213	2358.479673	4115.139861
214	2358.219393	4114.739144
215	2351.594626	4102.248972
216	2351.525234	4102.248505
217	2351.963551	4102.235207
218	2348.557243	4098.221594
219	2348.939486	4098.120713
220	2349.040421	4098.119779
221	2348.872897	4098.009554
222	2348.951636	4098.008853
223	2349.013084	4098.008386
224	2349.060981	4098.008153
225	2349.097664	4098.007919
226	2349.453271	4098.002781
227	2346.862617	4094.356212
228	2347.156075	4094.352472
229	2346.122897	4091.973956
230	2346.004907	4091.903091
231	2346.126869	4091.898414
232	2346.186215	4091.89818
233	2346.046963	4091.859122
234	2342.676402	4087.205044
235	2342.541589	4086.602772
236	2342.56285	4086.602772
237	2342.579907	4086.602772
238	2342.360748	4085.765485
239	2339.446963	4083.007197
240	2339.654439	4083.006025
241	2336.928972	4079.109098
242	2336.361916	4077.568343
243	2334.049766	4075.263397
244	2332.200234	4073.560027
245	2332.745327	4073.500588
246	2331.958411	4073.124439
247	2332.498598	4072.337022
248	2332.608178	4072.335847
249	2332.692056	4072.257591
250	2332.778972	4072.256886
251	2332.809112	4072.256651
252	2332.869393	4072.256181
253	2332.88014	4072.255946
254	2332.981542	4072.252185
255	2324.499065	4060.165208
256	2324.498598	4060.164972
257	2324.738084	4060.107695
258	2324.920327	4059.050868
259	2325.543224	4058.969998
260	2326.03715	4058.916948
261	2325.926869	4058.916712
262	2325.926636	4058.90846
263	2325.871495	4058.825229
264	2325.792056	4058.825229
265	2325.736682	4058.624806
266	2325.780607	4058.621977
267	2325.008645	4058.181721
268	2325.001168	4058.18007
269	2324.420794	4055.096701
270	2324.032944	4054.772422
271	2323.809346	4054.764161
272	2323.631776	4054.758733
273	2319.043458	4048.348757
274	2319.645561	4048.216137
275	2319.532009	4048.213537
276	2320.093458	4048.158454
277	2319.98785	4048.156563
278	2314.717523	4037.917864
279	2315.01472	4037.894401
280	2314.725935	4037.887291
281	2314.534112	4037.879469
282	2314.904206	4037.538638
283	2314.821729	4037.534134
284	2314.602336	4037.531053
285	2312.223832	4035.770733
286	2311.681542	4035.517232
287	2310.9	4035.400791
288	2311.393224	4035.368301
289	2311.676402	4035.343399
290	2311.964252	4035.330593
291	2312.121495	4035.322055
292	2312.321963	4035.318735
293	2312.338551	4035.317549
294	2312.252103	4035.316363
295	2312.51215	4035.30996
296	2312.444626	4035.309012
297	2312.315888	4035.287667
298	2311.875234	4035.025122
299	2312.278505	4034.976975
300	2312.226168	4034.976738
301	2312.183879	4034.976264
302	2310.947897	4033.633848
303	2311.074766	4033.624595
304	2310.408879	4032.064797
305	2309.88715	4031.798482
306	2309.58528	4031.27933
307	2309.703271	4031.267461
308	2309.600234	4031.13689
309	2305.23014	4024.877376
310	2304.98271	4024.717589
311	2295.407009	4005.531278
312	2295.40257	4005.530562
313	2294.454206	4005.430333
314	2294.832243	4004.905612
315	2294.401402	4004.78625
316	2294.432477	4004.784697
317	2294.43785	4004.228464
318	2294.517757	4004.226194
319	2293.761449	4003.834454
320	2294.05771	4003.821666
321	2293.993224	4003.686854
322	2293.503972	4003.182584
323	2293.806542	4003.175293
324	2293.590888	4003.097597
325	2287.724299	3990.63295
326	2285.714953	3988.013682
327	2283.43715	3986.247461
328	2281.455841	3982.949589
329	2281.616355	3982.940459
330	2281.99229	3982.913307
331	2280.746262	3982.520192
332	2280.917523	3982.513824
333	2278.890888	3975.121978
334	2279.174299	3975.108977
335	2279.163551	3974.96633
336	2279.126636	3974.965728
337	2279.097664	3974.965246
338	2279.074766	3974.964885
339	2278.966589	3974.724841
340	2279.208411	3974.720146
341	2278.989953	3974.673797
342	2279.072664	3974.65309
343	2279.249533	3972.642325
344	2279.429206	3972.500312
345	2279.534346	3972.468512
346	2275.901168	3967.53413
347	2275.427804	3967.282178
348	2275.407477	3967.271202
349	2275.052804	3967.083765
350	2274.989019	3967.081473
351	2275.200234	3966.736127
352	2274.508879	3965.793659
353	2274.301402	3965.692908
354	2274.13972	3965.650435
355	2274.005374	3965.628354
356	2274.071729	3965.620873
357	2274.303037	3965.151103
358	2274.176869	3965.147
359	2274.360748	3965.103073
360	2274.524533	3965.074592
361	2274.73972	3965.062042
362	2274.611449	3964.40778
363	2274.637617	3964.405607
364	2269.082243	3956.493053
365	2269.004673	3956.21645
366	2269.441121	3956.210402
367	2269.054907	3954.440746
368	2268.702103	3954.168598
369	2268.640888	3954.142459
370	2268.803738	3954.134593
371	2268.614953	3953.933463
372	2268.471729	3953.925113
373	2268.50514	3953.922329
374	2268.672196	3953.916278
375	2268.545561	3953.900667
376	2268.53785	3953.891348
377	2268.67757	3953.887475
378	2253.27243	3929.974204
379	2253.204673	3929.878501
380	2253.484112	3929.863159
381	2251.927103	3928.339632
382	2251.836449	3928.299557
383	2251.618925	3928.27824
384	2251.800467	3928.266181
385	2252.012617	3928.259481
386	2252.110047	3928.254243
387	2252.224299	3928.251563
388	2252.314953	3928.24998
389	2252.386215	3928.249005
390	2252.244393	3928.219649
391	2252.34486	3928.217334
392	2248.336449	3921.389187
393	2248.350234	3921.388699
394	2248.371963	3921.385527
395	2248.393224	3921.38455
396	2248.264019	3921.3538
397	2240.156776	3906.816083
398	2240.498131	3906.810326
399	2240.646729	3906.810081
400	2240.764486	3906.809714
401	2241.025234	3906.808244
402	2241.097897	3906.807999
403	2241.155374	3906.807999
404	2241.200701	3906.807999
405	2241.236449	3906.807999
406	2241.264953	3906.807999
407	2241.287617	3906.807754
408	2241.30514	3906.807876
409	2241.319159	3906.807876
410	2241.329907	3906.807876
411	2241.338551	3906.807876
412	2241.345794	3906.807876
413	2241.351402	3906.807876
414	2241.355841	3906.807754
415	2241.359112	3906.807876
416	2241.361916	3906.807876
417	2240.08715	3904.798938
418	2240.169159	3904.798693
419	2240.233879	3904.798815
420	2239.434579	3904.34918
421	2239.428738	3904.314251
422	2239.402103	3904.31131
423	2237.5	3903.141441
424	2233.392757	3897.675281
425	2232.93972	3897.509788
426	2232.482944	3897.357548
427	2232.246963	3897.342201
428	2232.513084	3897.333361
429	2232.713318	3897.252695
430	2232.26986	3896.971151
431	2232.452336	3896.962555
432	2232.620561	3896.952487
433	2232.321963	3896.865428
434	2225.501168	3883.655401
435	2225.275234	3883.650966
436	2225.261449	3883.646284
437	2225.161215	3883.644312
438	2225.119393	3883.635195
439	2225.257944	3883.631006
440	2225.26472	3883.610799
441	2224.875935	3883.172265
442	2224.796495	3883.161791
443	2224.806308	3883.151317
444	2223.292991	3879.951918
445	2222.71986	3879.675038
446	2222.803738	3879.671831
447	2222.87243	3879.121095
448	2223.256308	3878.895721
449	2223.088084	3878.894364
450	2223.013785	3878.887703
451	2222.905841	3878.885729
452	2219.034579	3873.726656
453	2219.108645	3873.646611
454	2219.05514	3873.644387
455	2219.096495	3873.638458
456	2209.82757	3860.853904
457	2209.928505	3860.839775
458	2210.215888	3858.93847
459	2210.185748	3858.016551
460	2210.178037	3858.015931
461	2210.244159	3858.015931
462	2210.330374	3858.010474
463	2210.070794	3857.878257
464	2210.134579	3857.87466
465	2209.508879	3856.934125
466	2209.565654	3856.930651
467	2205.648131	3851.351446
468	2205.73972	3851.349955
469	2205.824299	3851.349334
470	2205.890888	3851.34921
471	2205.943692	3851.349086
472	2205.98528	3851.348961
473	2206.017991	3851.345855
474	2205.208411	3850.612003
475	2204.958411	3850.576711
476	2204.669159	3850.548502
477	2199.76729	3841.13653
478	2199.666589	3841.134536
479	2199.802103	3841.071626
480	2199.566589	3841.056677
481	2199.203271	3840.309022
482	2197.744159	3836.5955
483	2197.852103	3836.592881
484	2198.221495	3836.400805
485	2198.224299	3836.400681
486	2198.227336	3836.400556
487	2198.015187	3835.217084
488	2196.772196	3832.542291
489	2196.084346	3831.732034
490	2196.436916	3831.585173
491	2196.515421	3831.579803
492	2197.152103	3831.455665
493	2197.123364	3831.442677
494	2197.103738	3831.434309
495	2197.078738	3831.433935
496	2197.238785	3831.227862
497	2196.93972	3831.153298
498	2197.205374	3829.884246
499	2197.046028	3829.852386
