iter	Passed	Remaining
0	12	6347
1	28	7135
2	41	6830
3	55	6912
4	72	7199
5	87	7174
6	103	7307
7	115	7125
8	131	7177
9	143	7039
10	154	6866
11	166	6767
12	178	6686
13	194	6739
14	212	6864
15	229	6947
16	247	7038
17	262	7036
18	274	6959
19	286	6886
20	298	6818
21	312	6788
22	324	6729
23	340	6748
24	352	6691
25	364	6642
26	375	6573
27	387	6530
28	409	6643
29	426	6685
30	441	6673
31	458	6701
32	471	6679
33	482	6617
34	494	6573
35	508	6549
36	528	6618
37	547	6650
38	557	6592
39	569	6550
40	583	6528
41	596	6505
42	613	6519
43	633	6560
44	651	6592
45	669	6605
46	687	6622
47	703	6626
48	721	6637
49	738	6645
50	752	6625
51	763	6581
52	774	6528
53	784	6478
54	795	6440
55	814	6455
56	829	6448
57	849	6472
58	866	6475
59	883	6475
60	897	6456
61	906	6405
62	922	6401
63	938	6392
64	954	6389
65	964	6342
66	976	6310
67	997	6336
68	1007	6294
69	1017	6252
70	1028	6213
71	1040	6183
72	1051	6147
73	1067	6143
74	1084	6143
75	1100	6139
76	1117	6139
77	1130	6117
78	1144	6101
79	1162	6100
80	1174	6075
81	1192	6077
82	1205	6057
83	1223	6058
84	1240	6056
85	1258	6057
86	1275	6054
87	1291	6048
88	1309	6045
89	1326	6043
90	1338	6015
91	1355	6013
92	1367	5986
93	1386	5988
94	1402	5980
95	1419	5974
96	1437	5973
97	1452	5956
98	1472	5962
99	1490	5961
100	1506	5951
101	1517	5922
102	1533	5911
103	1544	5881
104	1560	5869
105	1572	5845
106	1588	5833
107	1607	5834
108	1618	5807
109	1636	5801
110	1653	5794
111	1663	5763
112	1676	5741
113	1687	5714
114	1698	5687
115	1713	5672
116	1726	5650
117	1737	5625
118	1747	5595
119	1760	5574
120	1772	5553
121	1791	5551
122	1804	5529
123	1815	5505
124	1828	5486
125	1842	5469
126	1853	5444
127	1864	5418
128	1875	5394
129	1887	5370
130	1900	5352
131	1911	5327
132	1921	5303
133	1932	5278
134	1949	5271
135	1964	5256
136	1978	5242
137	1999	5244
138	2011	5223
139	2029	5217
140	2042	5200
141	2054	5178
142	2066	5157
143	2078	5138
144	2089	5115
145	2100	5091
146	2110	5068
147	2123	5050
148	2136	5031
149	2145	5006
150	2156	4984
151	2168	4964
152	2181	4947
153	2194	4929
154	2205	4909
155	2218	4891
156	2234	4881
157	2245	4860
158	2254	4836
159	2268	4819
160	2285	4812
161	2297	4792
162	2307	4771
163	2319	4751
164	2331	4734
165	2344	4717
166	2355	4697
167	2369	4682
168	2387	4676
169	2403	4665
170	2413	4644
171	2424	4624
172	2436	4606
173	2448	4586
174	2465	4579
175	2476	4558
176	2492	4549
177	2503	4528
178	2513	4507
179	2525	4489
180	2542	4480
181	2559	4472
182	2572	4455
183	2586	4442
184	2599	4426
185	2609	4406
186	2624	4393
187	2636	4374
188	2653	4366
189	2663	4345
190	2679	4335
191	2697	4326
192	2713	4316
193	2730	4307
194	2747	4297
195	2766	4290
196	2780	4276
197	2799	4269
198	2810	4251
199	2829	4244
200	2842	4228
201	2855	4212
202	2869	4198
203	2880	4180
204	2891	4161
205	2903	4144
206	2920	4134
207	2933	4118
208	2946	4102
209	2960	4087
210	2974	4074
211	2986	4057
212	2999	4040
213	3011	4024
214	3029	4015
215	3046	4005
216	3058	3989
217	3070	3971
218	3086	3960
219	3101	3947
220	3111	3928
221	3122	3910
222	3132	3891
223	3142	3871
224	3152	3852
225	3163	3835
226	3177	3821
227	3196	3813
228	3209	3798
229	3227	3788
230	3239	3771
231	3251	3756
232	3262	3738
233	3273	3720
234	3290	3710
235	3302	3694
236	3313	3677
237	3323	3659
238	3340	3648
239	3358	3638
240	3369	3621
241	3388	3612
242	3402	3598
243	3421	3589
244	3439	3579
245	3452	3564
246	3464	3548
247	3477	3534
248	3487	3515
249	3499	3499
250	3509	3481
251	3518	3463
252	3528	3445
253	3538	3427
254	3549	3410
255	3569	3402
256	3581	3386
257	3596	3373
258	3614	3363
259	3631	3352
260	3651	3343
261	3661	3326
262	3674	3311
263	3687	3296
264	3697	3279
265	3711	3265
266	3723	3248
267	3739	3237
268	3750	3220
269	3768	3210
270	3783	3197
271	3795	3181
272	3807	3166
273	3826	3156
274	3843	3144
275	3854	3128
276	3868	3114
277	3878	3097
278	3895	3085
279	3906	3069
280	3919	3054
281	3931	3039
282	3950	3029
283	3964	3015
284	3977	3000
285	3997	2990
286	4013	2978
287	4025	2963
288	4041	2950
289	4060	2940
290	4073	2925
291	4087	2911
292	4098	2895
293	4109	2879
294	4121	2863
295	4135	2849
296	4146	2833
297	4159	2819
298	4177	2808
299	4192	2794
300	4204	2779
301	4216	2764
302	4233	2752
303	4245	2737
304	4264	2726
305	4277	2712
306	4294	2700
307	4306	2684
308	4324	2672
309	4341	2660
310	4356	2647
311	4375	2636
312	4386	2620
313	4399	2606
314	4413	2592
315	4426	2577
316	4437	2561
317	4449	2546
318	4462	2531
319	4476	2517
320	4488	2503
321	4502	2489
322	4515	2474
323	4527	2459
324	4544	2446
325	4563	2435
326	4582	2424
327	4597	2410
328	4617	2399
329	4628	2384
330	4643	2370
331	4661	2358
332	4671	2342
333	4688	2330
334	4704	2317
335	4722	2304
336	4732	2289
337	4742	2273
338	4755	2258
339	4773	2246
340	4790	2233
341	4803	2219
342	4816	2204
343	4834	2192
344	4850	2179
345	4866	2166
346	4885	2154
347	4896	2138
348	4908	2123
349	4925	2110
350	4939	2096
351	4954	2083
352	4972	2070
353	4985	2056
354	5003	2043
355	5017	2029
356	5029	2014
357	5046	2001
