iter	Passed	Remaining
0	13	2709
1	26	2654
2	37	2462
3	48	2368
4	59	2323
5	69	2262
6	80	2232
7	92	2214
8	103	2188
9	111	2116
10	122	2106
11	133	2089
12	144	2079
13	155	2066
14	166	2052
15	177	2043
16	188	2031
17	199	2020
18	210	2009
19	222	2006
20	233	1988
21	243	1966
22	255	1964
23	266	1955
24	277	1945
25	288	1931
26	298	1914
27	308	1895
28	318	1877
29	330	1874
30	342	1868
31	352	1849
32	361	1831
33	371	1813
34	381	1797
35	390	1780
36	402	1775
37	414	1767
38	424	1751
39	434	1738
40	444	1724
41	455	1712
42	465	1698
43	475	1684
44	484	1669
45	494	1656
46	504	1643
47	514	1629
48	525	1619
49	537	1611
50	549	1605
51	559	1591
52	569	1578
53	579	1565
54	589	1553
55	600	1544
56	612	1536
57	622	1523
58	631	1510
59	645	1505
60	656	1496
61	666	1482
62	675	1469
63	685	1457
64	695	1445
65	705	1432
66	715	1420
67	725	1408
68	735	1396
69	745	1384
70	755	1372
71	765	1360
72	775	1349
73	788	1341
74	799	1333
75	810	1321
76	821	1312
77	832	1301
78	844	1294
79	856	1285
80	869	1277
81	970	1395
82	986	1390
83	998	1379
84	1009	1365
85	1018	1350
86	1030	1337
87	1041	1325
88	1051	1311
89	1061	1297
90	1071	1283
91	1080	1268
92	1091	1256
93	1103	1244
94	1114	1231
95	1124	1217
96	1133	1203
97	1144	1191
98	1157	1180
99	1168	1168
100	1182	1158
101	1193	1147
102	1203	1133
103	1212	1119
104	1222	1106
105	1232	1092
106	1242	1079
107	1252	1066
108	1261	1053
109	1271	1040
110	1281	1027
111	1290	1014
112	1300	1001
113	1310	988
114	1320	975
115	1329	962
116	1339	950
117	1348	937
118	1358	924
119	1369	912
120	1380	901
121	1391	889
122	1400	876
123	1411	865
124	1421	853
125	1431	840
126	1441	828
127	1451	816
128	1460	804
129	1470	792
130	1480	780
131	1490	767
132	1500	755
133	1509	743
134	1519	731
135	1529	719
136	1538	707
137	1548	695
138	1559	684
139	1572	673
140	1583	662
141	1593	650
142	1604	639
143	1614	627
144	1625	616
145	1636	605
146	1645	593
147	1655	581
148	1665	570
149	1675	558
150	1685	546
151	1695	535
152	1704	523
153	1714	512
154	1724	500
155	1733	489
156	1743	477
157	1753	466
158	1763	454
159	1773	443
160	1784	432
161	1794	420
162	1804	409
163	1814	398
164	1824	386
165	1833	375
166	1843	364
167	1853	353
168	1880	344
169	1955	345
170	1968	333
171	1978	322
172	1989	310
173	1999	298
174	2008	286
175	2018	275
176	2027	263
177	2037	251
178	2046	240
179	2056	228
180	2065	216
181	2075	205
182	2085	193
183	2094	182
184	2104	170
185	2113	159
186	2123	147
187	2132	136
188	2142	124
189	2152	113
190	2163	101
191	2175	90
192	2185	79
193	2194	67
194	2206	56
195	2217	45
196	2229	33
197	2240	22
198	2250	11
199	2260	0
